_id,ID,NAME,ADDRESS,ADDRESS_POINT_ID,ADDRESS_ID,CENTRELINE_ID,MAINT_STAGE,ADDRESS_NUMBER,LINEAR_NAME_FULL,POSTAL_CODE,GENERAL_USE,CLASS_FAMILY_DESC,ADDRESS_ID_LINK,PLACE_NAME,X,Y,LATITUDE,LONGITUDE,WARD_NAME,MUNICIPALITY_NAME,OBJECTID,geometry
11,14,FIRE STATION 134,16 MONTGOMERY AVE,843876,106325,1138230,REGULAR,16,Montgomery Ave,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 134,,,,,Eglinton-Lawrence (8),former Toronto,1662464,"{u'type': u'Point', u'coordinates': (-79.3997683019, 43.7096567595)}"
12,46,FIRE STATION 314,12 GROSVENOR ST,7762642,1460311,14673186,REGULAR,12,Grosvenor St,,Fire Station,"Structure, Structure Entrance",155719.0,Fire Station 314,,,,,Toronto Centre (13),former Toronto,1669763,"{u'type': u'Point', u'coordinates': (-79.3846617685, 43.6630574202)}"
13,54,FIRE STATION 331,33 CLAREMONT ST,6522583,152968,1146109,REGULAR,33,Claremont St,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 331,,,,,Spadina-Fort York (10),former Toronto,1701571,"{u'type': u'Point', u'coordinates': (-79.4097737524, 43.6473361194)}"
14,5,FIRE STATION 115,115 PARKWAY FOREST DR,8823994,286309,8823988,REGULAR,115,Parkway Forest Dr,,Fire/Ambulance Stations,"Land, Structure, Structure Entrance",,"Fire Station 115, Ambulance Station 23",,,,,Don Valley North (17),North York,1783376,"{u'type': u'Point', u'coordinates': (-79.3406860701, 43.7744035512)}"
15,12,FIRE STATION 132,476 LAWRENCE AVE W,9847351,100477,9694792,REGULAR,476,Lawrence Ave W,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 132,,,,,Eglinton-Lawrence (8),North York,1852933,"{u'type': u'Point', u'coordinates': (-79.4285718669, 43.7197981433)}"
16,77,FIRE STATION 433,615 ROYAL YORK RD,10142756,181271,10142758,REGULAR,615,Royal York Rd,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 433,,,,,Etobicoke-Lakeshore (3),Etobicoke,1918334,"{u'type': u'Point', u'coordinates': (-79.5029381693, 43.6280185381)}"
17,80,FIRE STATION 441,947 MARTIN GROVE RD,6044964,22707,6044958,REGULAR,947,Martin Grove Rd,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 441,,,,,Etobicoke North (1),Etobicoke,1959089,"{u'type': u'Point', u'coordinates': (-79.5719196489, 43.6949604664)}"
18,59,FIRE STATION 341,555 OAKWOOD AVE,69771,96972,7809,REGULAR,555,Oakwood Ave,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 341,,,,,Toronto-St. Paul's (12),York,1961768,"{u'type': u'Point', u'coordinates': (-79.4411405906, 43.6945203033)}"
19,78,FIRE STATION 434,3 LUNNESS RD,6738444,1406,6738419,REGULAR,3,Lunness Rd,,Fire/Ambulance Stations,"Land, Structure, Structure Entrance",,"Fire Station 434, Ambulance Station 38N",,,,,Etobicoke-Lakeshore (3),Etobicoke,1977909,"{u'type': u'Point', u'coordinates': (-79.5439889406, 43.6025703359)}"
20,43,FIRE STATION 311,20 BALMORAL AVE,8741293,116679,20062243,REGULAR,20,Balmoral Ave,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 311,,,,,Toronto-St. Paul's (12),former Toronto,1995083,"{u'type': u'Point', u'coordinates': (-79.3939758413, 43.6859508064)}"
21,50,FIRE STATION 323,153 CHATHAM AVE,8837366,226454,20080084,REGULAR,153,Chatham Ave,,Fire/Ambulance Stations,"Land, Structure, Structure Entrance",,"Fire Station 323, Ambulance Station 4",,,,,Toronto-Danforth (14),former Toronto,2004250,"{u'type': u'Point', u'coordinates': (-79.3346621153, 43.6795428878)}"
22,36,FIRE STATION 234,40 CORONATION DR,2219446,338580,2219434,REGULAR,40,Coronation Dr,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 234,,,,,Scarborough-Guildwood (24),Scarborough,2004920,"{u'type': u'Point', u'coordinates': (-79.1915220291, 43.7610681663)}"
23,79,FIRE STATION 435,130 EIGHTH ST,998837,187175,20048251,REGULAR,130,Eighth St,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 435,,,,,Etobicoke-Lakeshore (3),Etobicoke,2012378,"{u'type': u'Point', u'coordinates': (-79.5069699934, 43.6011185171)}"
24,72,FIRE STATION 424,462 RUNNYMEDE RD,7985900,55504,7985886,REGULAR,462,Runnymede Rd,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 424,,,,,Parkdale-High Park (4),former Toronto,2025112,"{u'type': u'Point', u'coordinates': (-79.479629401, 43.6583545553)}"
25,26,FIRE STATION 221,2575 EGLINTON AVE E,330710,317332,111065,REGULAR,2575,Eglinton Ave E,,Restaurant,"Land, Structure, Structure Entrance",,,,,,,Scarborough Southwest (20),Scarborough,2048861,"{u'type': u'Point', u'coordinates': (-79.2550627035, 43.7347901433)}"
26,29,FIRE STATION 224,1313 WOODBINE AVE,6620011,262674,6620012,REGULAR,1313,Woodbine Ave,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 224,,,,,Beaches-East York (19),East York,2062647,"{u'type': u'Point', u'coordinates': (-79.3165970102, 43.6951874596)}"
27,41,FIRE STATION 244,2340 BIRCHMOUNT RD,4570660,295586,4570662,REGULAR,2340,Birchmount Rd,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 244,,,,,Scarborough-Agincourt (22),Scarborough,2063805,"{u'type': u'Point', u'coordinates': (-79.2991153162, 43.7816824953)}"
28,31,FIRE STATION 226,87 MAIN ST,6294642,215086,1140025,REGULAR,87,Main St,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 226,,,,,Beaches-East York (19),former Toronto,2080935,"{u'type': u'Point', u'coordinates': (-79.2990652659, 43.681923341)}"
29,9,FIRE STATION 123,143 BOND AVE,11541989,276675,11541986,REGULAR,143,Bond Ave,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 123,,,,,Don Valley East (16),North York,2108616,"{u'type': u'Point', u'coordinates': (-79.3467260333, 43.7458140064)}"
30,11,FIRE STATION 131,3135 YONGE ST,7785457,420576,7785453,REGULAR,3135,Yonge St,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 131,,,,,Don Valley West (15),former Toronto,2119715,"{u'type': u'Point', u'coordinates': (-79.4021572824, 43.726217005)}"
31,28,FIRE STATION 223,116 DORSET RD,9486826,316015,14666179,REGULAR,116,Dorset Rd,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 223,,,,,Scarborough Southwest (20),Scarborough,2172861,"{u'type': u'Point', u'coordinates': (-79.2332610777, 43.7239567618)}"
32,33,FIRE STATION 231,740 MARKHAM RD,8714126,344653,8714123,REGULAR,740,Markham Rd,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 231,,,,,Scarborough-Guildwood (24),Scarborough,2175731,"{u'type': u'Point', u'coordinates': (-79.2277876628, 43.7646440089)}"
33,44,FIRE STATION 312,34 YORKVILLE AVE,8677247,125045,14014191,REGULAR,34,Yorkville Ave,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 312,,,,,University-Rosedale (11),former Toronto,2224532,"{u'type': u'Point', u'coordinates': (-79.3889203796, 43.6718748613)}"
34,40,FIRE STATION 243,4560 SHEPPARD AVE E,4840624,484827,4840625,REGULAR,4560,Sheppard Ave E,,Fire/Ambulance Stations,"Land, Structure, Structure Entrance",,"Fire Station 243, Ambulance Station 29",,,,,Scarborough North (23),Scarborough,2236216,"{u'type': u'Point', u'coordinates': (-79.2629602053, 43.7891369171)}"
35,83,FIRE STATION 444,666 RENFORTH DR,1027149,24765,910843,REGULAR,666,Renforth Dr,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 444,,,,,Etobicoke Centre (2),Etobicoke,2238015,"{u'type': u'Point', u'coordinates': (-79.582695988, 43.6574667399)}"
36,25,FIRE STATION 215,5318 LAWRENCE AVE E,354673,327448,107237,REGULAR,5318,Lawrence Ave E,,Fire Station,"Land, Structure, Structure Entrance",,Fire Station 215,,,,,Scarborough-Rouge Park (25),Scarborough,2250005,"{u'type': u'Point', u'coordinates': (-79.1480658922, 43.7773919351)}"
