,Incident_Numberinc_,t0,t1,t2,t3,t4
342,F18057488,0.8663861,0.033333413,0.033498153,0.03344852,0.03333378
343,F11143480,0.8851821,0.028574562,0.028662384,0.0286597,0.02892125
344,F14062029,0.03334167,0.8666161,0.03337295,0.03333533,0.03333399
345,F11142068,0.025001511,0.025002634,0.025018292,0.89986604,0.025111528
346,F17043169,0.022654695,0.022295726,0.7960512,0.022275556,0.13672286
347,F14043263,0.2,0.2,0.2,0.2,0.2
348,F11044853,0.88518226,0.028574562,0.028662384,0.0286597,0.028921133
349,F13028699,0.5997891,0.10000214,0.100002296,0.100204825,0.10000171
350,F15044247,0.8666628,0.033336483,0.033333737,0.03333349,0.033333514
351,F15036907,0.06668398,0.73326236,0.06671486,0.06666996,0.066668816
352,F16077162,0.025150333,0.025156619,0.02510337,0.025078623,0.8995111
353,F16038721,0.05000825,0.79992974,0.050059438,0.050001577,0.05000105
354,F15002471,0.03336099,0.2390783,0.033343922,0.033567883,0.6606489
355,F17130327,0.011169272,0.011112046,0.36558056,0.6008798,0.011258341
356,F12081040,0.07014174,0.71926725,0.071653016,0.06786937,0.07106857
357,F13088991,0.022293676,0.024009185,0.022266937,0.4290384,0.5023918
358,F15045107,0.59941083,0.1003966,0.10000984,0.10000688,0.100175895
359,F14017649,0.012555066,0.07291987,0.4110454,0.49064493,0.012834762
360,F13009465,0.050000075,0.05000008,0.79999506,0.050001446,0.050003372
361,F12037724,0.011169273,0.011112047,0.36558038,0.6008802,0.011258067
362,F16027600,0.04000725,0.83996904,0.04002018,0.040002547,0.04000094
363,F11146171,0.043931123,0.8358406,0.040006965,0.04002295,0.04019839
364,F18032683,0.028575791,0.028571492,0.786125,0.12812819,0.028599529
365,F19046313,0.06667002,0.3186875,0.48130545,0.06666972,0.06666731
366,F17003801,0.03334168,0.8666292,0.033359032,0.0333361,0.033334013
367,F19067937,0.03334064,0.86660767,0.03334818,0.033339307,0.033364173
368,F11036626,0.70970786,0.02000245,0.02010193,0.020095807,0.23009196
369,F14046252,0.018183136,0.018183142,0.018196914,0.92720056,0.018236203
370,F14032565,0.314644,0.03348656,0.58502525,0.03338845,0.033455703
371,F16119259,0.050058223,0.052229974,0.05022779,0.050018944,0.7974651
372,F15050908,0.040018916,0.839849,0.040003054,0.04002386,0.040105212
373,F19024557,0.7074512,0.19251487,0.033363804,0.03333551,0.033334594
374,F12100823,0.10328814,0.102281086,0.10051186,0.10009541,0.5938235
375,F19024142,0.05062759,0.050043676,0.7954634,0.05084666,0.053018674
376,F16040921,0.8856221,0.028598782,0.028597733,0.028582316,0.028599054
